ID,SUB_ID,FILE_ID,RT,F0,LSF,MEL,MFCC,MFCC_D1,MFCC_D2,TEMP,PERCP,SPECT
1,CMU_13,LS_5456_58161_0021_SWT_LS_7505_83618_0024_tChange_5946_ms_rstamp_6348_ms_flag_1_lid_CMU_13,402.0000,0.4915,2.2547,1.5948,2.3383,2.3223,2.3770,1.2218,1.9769,1.4557
1,CMU_13,LS_5456_58161_0027_SWT_LS_374_180298_0015_tChange_5490_ms_rstamp_5861_ms_flag_1_lid_CMU_13,371.0000,1.8147,3.4964,2.3027,3.8854,2.6916,3.0202,2.7316,2.3714,1.6359
1,CMU_13,LS_5456_62014_0000_SWT_LS_7447_91187_0027_tChange_5367_ms_rstamp_6010_ms_flag_1_lid_CMU_13,643.0000,2.3907,6.4739,3.7889,7.9758,1.0473,2.0332,0.2990,6.4579,6.6748
1,CMU_13,LS_5456_62014_0002_SWT_LS_374_180299_0042_tChange_5944_ms_rstamp_6283_ms_flag_1_lid_CMU_13,339.0000,2.1843,3.9610,1.0346,3.5248,1.2872,3.1342,0.2445,1.9088,1.8906
1,CMU_13,LS_5456_62014_0011_SWT_LS_2843_152918_0026_tChange_7036_ms_rstamp_7482_ms_flag_1_lid_CMU_13,446.0000,0.0261,3.3643,1.5035,3.4519,2.1215,1.5689,1.4816,0.8592,1.0263
1,CMU_13,LS_5456_62014_0012_SWT_LS_2843_152918_0100_tChange_5447_ms_rstamp_5862_ms_flag_1_lid_CMU_13,415.0000,0.2154,2.5392,1.1930,3.2906,2.7850,1.3961,1.1527,0.7473,0.7341
1,CMU_13,LS_5456_62014_0017_SWT_LS_2843_152918_0113_tChange_6419_ms_rstamp_6787_ms_flag_1_lid_CMU_13,368.0000,1.6099,4.2915,1.7171,3.1495,1.3903,4.9086,0.6604,1.8478,2.1979
1,CMU_13,LS_5456_62043_0000_SWT_LS_7505_83618_0005_tChange_5873_ms_rstamp_6468_ms_flag_1_lid_CMU_13,595.0000,2.0376,2.4450,1.9500,2.5133,1.8896,1.4346,1.6588,1.8086,1.4163
1,CMU_13,LS_5456_62043_0002_SWT_LS_2843_152918_0023_tChange_5274_ms_rstamp_5619_ms_flag_1_lid_CMU_13,345.0000,0.0842,5.1142,1.0742,5.4422,3.7043,2.0314,3.1269,2.8645,3.8827
1,CMU_13,LS_5456_62043_0009_SWT_LS_7505_258964_0019_tChange_5557_ms_rstamp_6341_ms_flag_1_lid_CMU_13,784.0000,1.5562,2.5569,3.0887,2.6822,1.6572,1.1172,2.0051,2.9721,1.0890
1,CMU_13,LS_5456_62043_0014_SWT_LS_7447_91187_0030_tChange_5678_ms_rstamp_6059_ms_flag_1_lid_CMU_13,381.0000,0.2557,2.5695,3.0008,3.6643,2.6008,3.6838,0.2683,2.3219,2.0662
1,CMU_13,LS_5456_62043_0021_SWT_LS_7505_83618_0007_tChange_5578_ms_rstamp_6414_ms_flag_1_lid_CMU_13,836.0000,0.8001,1.9487,0.9585,2.1775,1.3799,1.0394,1.6349,1.2172,1.2247
1,CMU_13,LS_5456_62043_0022_SWT_LS_2843_152918_0103_tChange_7259_ms_rstamp_7633_ms_flag_1_lid_CMU_13,374.0000,0.2207,3.2934,0.8667,3.0880,1.9513,2.1121,0.4930,1.7621,2.1995
1,CMU_13,LS_5456_62043_0023_SWT_LS_7447_91187_0009_tChange_5226_ms_rstamp_5606_ms_flag_1_lid_CMU_13,380.0000,0.5545,2.8569,2.4812,3.2366,3.3825,1.5369,4.1577,3.0505,2.5789
1,CMU_13,LS_5456_62043_0025_SWT_LS_374_180298_0010_tChange_6165_ms_rstamp_6756_ms_flag_1_lid_CMU_13,591.0000,0.6863,2.7384,1.4299,2.7772,1.6522,1.1891,0.8880,0.7732,0.7386
1,CMU_13,LS_5456_62043_0028_SWT_LS_7447_91187_0005_tChange_5587_ms_rstamp_6235_ms_flag_1_lid_CMU_13,648.0000,2.4710,3.5954,3.2267,4.2265,1.9788,1.0101,2.3231,4.7933,3.9533
1,CMU_13,LS_5456_62043_0029_SWT_LS_374_180298_0037_tChange_5271_ms_rstamp_5997_ms_flag_1_lid_CMU_13,726.0000,2.8409,3.7155,1.4046,3.2866,2.1750,1.8286,1.0380,2.7237,2.6356
1,CMU_13,LS_5456_62043_0030_SWT_LS_7447_91187_0057_tChange_6657_ms_rstamp_7274_ms_flag_1_lid_CMU_13,617.0000,1.0071,4.1012,2.0628,3.2660,1.3341,1.7753,0.6421,3.5921,1.1460
1,CMU_13,LS_5456_62043_0032_SWT_LS_7505_83618_0010_tChange_6385_ms_rstamp_6643_ms_flag_1_lid_CMU_13,258.0000,2.0849,2.0139,1.4303,1.8367,2.5977,3.4104,2.1597,1.6603,1.3611
1,CMU_13,LS_5456_62043_0035_SWT_LS_7505_83618_0016_tChange_6261_ms_rstamp_6957_ms_flag_1_lid_CMU_13,696.0000,2.0863,1.0538,2.0098,1.5473,2.1867,0.8784,2.1082,0.6529,0.2768
1,CMU_13,LS_7447_91186_0007_SWT_LS_374_180298_0010_tChange_5588_ms_rstamp_6141_ms_flag_1_lid_CMU_13,553.0000,0.8524,2.6747,2.5312,2.5580,1.0408,3.0726,0.9256,1.7877,2.3457
1,CMU_13,LS_7447_91186_0009_SWT_LS_374_180299_0033_tChange_5901_ms_rstamp_6329_ms_flag_1_lid_CMU_13,428.0000,0.2613,4.3957,1.4654,4.7976,2.8762,3.6671,1.5642,3.9540,3.9431
1,CMU_13,LS_7447_91186_0011_SWT_LS_374_180298_0059_tChange_5613_ms_rstamp_6037_ms_flag_1_lid_CMU_13,424.0000,2.4939,3.8039,3.0865,4.0733,3.1804,1.7501,0.7714,1.4287,1.2578
1,CMU_13,LS_7447_91186_0012_SWT_LS_2843_152918_0026_tChange_5818_ms_rstamp_6378_ms_flag_1_lid_CMU_13,560.0000,1.6685,4.1633,1.4238,3.9541,1.4390,1.9102,2.0471,2.4228,1.3656
1,CMU_13,LS_7447_91186_0021_SWT_LS_5456_62043_0002_tChange_6033_ms_rstamp_6394_ms_flag_1_lid_CMU_13,361.0000,0.9060,3.0513,3.2318,2.6127,2.6817,3.3270,0.6722,2.4743,0.7717
1,CMU_13,LS_7447_91186_0025_SWT_LS_2843_152918_0058_tChange_5684_ms_rstamp_6085_ms_flag_1_lid_CMU_13,401.0000,0.6657,3.2497,1.6202,2.4111,2.0948,1.0986,3.1947,2.2940,1.1295
1,CMU_13,LS_7447_91186_0038_SWT_LS_7505_83618_0024_tChange_5740_ms_rstamp_6202_ms_flag_1_lid_CMU_13,462.0000,0.0093,4.8121,1.1274,4.4213,1.2064,2.2401,0.8286,2.0850,2.7163
1,CMU_13,LS_7447_91186_0039_SWT_LS_2843_152918_0028_tChange_5905_ms_rstamp_6403_ms_flag_1_lid_CMU_13,498.0000,0.5026,2.7564,1.6338,2.8618,1.5573,1.5342,0.4554,3.0663,3.1375
